Informacje o Konfiguracji

ALGORYTM
D³ugoœæ DNA: 5000 Populacja Pocz¹tkowa: 500 Czêstotliwoœæ Mutacji: 100 Iloœæ Generacji: 2000 Minimalny Fitness: 0 Maksymalny Fitness: 1
ZAPYTANIA
Maksymalna Iloœæ Zapytañ w Windzie: 4 Iloœæ Zapytañ: 100 Minimalne Mo¿liwe Piêtro: 0 Maksymalne Mo¿liwe Piêtro19
LISTA ZAPYTAÑ
ID,Start Floor,End Floor
Najlepsze DNA: 10101001111011110010110111010110111101010110111011000101111011101010110100011011010010011111110001111001001101101100100100101010010011011001001011000101111101010011111110010011111000100001111000000110100100111000001011010011110101101100101111101111011100001010110110000011000010001111101100110100010100000010000110000100111001101100010000011111010011000110110111110101100000001001111000001001110010100010000011001010110011111110011101010110111110000000010110100100111110000100000111010011110010100011011011100101010101010100101110011101100101101100001001100001100111110110011101000001111000110000010010011010011000101111000011011011000000110001000110100010101000110110011100111100110111011000000010110011111011110010101001100110100100101100110100000101011110110101101101000001001110000011010110101001001100111001111100011000001111011011101101110101011110101101100000101110001000001001101001010111111001010111001000000111000011101101110111100010101011100101000111100000110111010011111110110110110000001100010101001000010010101011110111110000110100001110000011011001101001110110111000011010101110000101101010100011010010000001000011100111000100101100111011110000000110110000001000010001001011011001101000011010011110100000001111011010010000010110110011001110010000100000000011011110101011011000100011010011110011010010100010001001110000101111000000010111110010011111100110111010000111110110111001001011011010000000100011110011101010100111110011011010101101001011110000010100001110000110000110010010101111101101001010000011010110011101001101110001110010000111011101110010110110111111001001110100101100010101010001011110100011110010110000010111101010010000100001110101010011001110001101001101010100010010101110001100010011101100010111111111111001111000100000111110110110010100011010011000011001110101010101110001110100100001111100111011110001101100011011011111111111110011000010010100111011000000100100101101001100011110010111010100100010111100110001111110110010010111111101100001101011111101010011010010111101101100110011010101110011001001001111111110100011000011100101011010000101101100100011111100101000100011010010010000101001010100101000111110000001001110111011111100010100001010000001010010111010000010011100111000010000011101010111001000000101110101110110101111010110101110101100001001110010101010100010011000010000010011110101111001001111011000000000011100010001100000001100000010001100101010110000001010001010111010011101001100001111000011000001011101100010101100101001111001000100110000001000111000011010100101000110011010111001101100101010001011001101010110111010000001100111000100010001111101101110111001101000001101011010000001110101101001010011000001011000101010111001101100100101001100111010001101010011100101100010110000011110101101011000011101101010111101000000111100100011101000110011100011000010010001011101101110100000011000011010011000111010000111011011101110101111001110101110110101111101010010000110011110010011101111110100111101000110000000001100101101100001111000001111100001100100011011110000010001101100011000011110101110011100011111011110011000000010010010001100000011110100000110011111110111110101000001100000101000011110101100100001001000000000010101001001010011010101100110100101011001000100010011100110011000110000001000001111111111011001100100000001000110011010101110111111111101100000100101000111001100111000010000111101000001011110011101011010111111011101100000001001000100101111011000010000000011111010100010011101001111101000100101011110011001011110110110011001110101000011000001101101000000111110100011101111110010110011110001010100010110010010101001010111100100100001010010111110100110110001010010010000010011111101111011110101001010001011110010001000100110001101001101101011110111100100110001001100101000101110010110011011100110010101011111100001001011010011110001111111101111110010010111111011111011001100100010101000111111001111010101100110100010110010101101010101011101100011100010111010010010010000101100101001110000010000111111110011011100000111011011111001100110010001010101110100100111110111100011000110101000001100101110111000100101001010110110001101101011011111110011111101111110100001101011000101001011101111110110101100110110010101111111101001000010001100101100010101111001001010010101100010001101110111001001100001011010100110010000000000100111100011001101100110001000110010101110110100011111011100101010110011110001101101000010101000011000100000101110000110011011110000110100010110100000010101110110001111111110100110011110100001000001000111110000011111000001000001110101100100110010111011000000000110111100101001000110110100101010000100010100110011001001111101001011011000111010101110001110011110000101000111101101110110010101111011011101010110000100010000110001001010101001001100011101011011010011000011011000001111011000001010100111100110101010100110110101011101010011111001000010100111011101010000000101000011110001101101100010001011011111001110001011011000010100001100100011110001010110101110000010100101000011100000101110110010001010100110111100Aktualna Generacja: 1 Najlepszy Fitness: 0 Najlepsza Iloœæ Ruchów: 5000
Najlepszy Fitness Zawsze: 0 Najlepsza Iloœæ Ruchów Zawsze: 5000
Najlepsze DNA: 10101001111011110010110111010110111101010110111011000101111011101010110100011011010010011111110001111001001101101100100100101010010011011001001011000101111101010011111110010011111000100001111000000110100100111000001011010011110101101100101111101111011100001010110110000011000010001111101100110100010100000010000110000100111001101100010000011111010011000110110111110101100000001001111000001001110010100010000011001010110011111110011101010110111110000000010110100100111110000100000111010011110010100011011011100101010101010100101110011101100101101100001001100001100111110110011101000001111000110000010010011010011000101111000011011011000000110001000110100010101000110110011100111100110111011000000010110011111011110010101001100110100100101100110100000101011110110101101101000001001110000011010110101001001100111001111100011000001111011011101101110101011110101101100000101110001000001001101001010111111001010111001000000111000011101101110111100010101011100101000111100000110111010011111110110110110000001100010101001000010010101011110111110000110100001110000011011001101001110110111000011010101110000101101010100011010010000001000011100111000100101100111011110000000110110000001000010001001011011001101000011010011110100000001111011010010000010110110011001110010000100000000011011110101011011000100011010011110011010010100010001001110000101111000000010111110010011111100110111010000111110110111001001011011010000000100011110011101010100111110011011010101101001011110000010100001110000110000110010010101111101101001010000011010110011101001101110001110010000111011101110010110110111111001001110100101100010101010001011110100011110010110000010111101010010000100001110101010011001110001101001101010100010010101110001100010011101100010111111111111001111000100000111110110110010100011010011000011001110101010101110001110100100001111100111011110001101100011011011111111111110011000010010100111011000000100100101101001100011110010111010100100010111100110001111110110010010111111101100001101011111101010011010010111101101100110011010101110011001001001111111110100011000011100101011010000101101100100011111100101000100011010010010000101001010100101000111110000001001110111011111100010100001010000001010010111010000010011100111000010000011101010111001000000101110101110110101111010110101110101100001001110010101010100010011000010000010011110101111001001111011000000000011100010001100000001100000010001100101010110000001010001010111010011101001100001111000011000001011101100010101100101001111001000100110000001000111000011010100101000110011010111001101100101010001011001101010110111010000001100111000100010001111101101110111001101000001101011010000001110101101001010011000001011000101010111001101100100101001100111010001101010011100101100010110000011110101101011000011101101010111101000000111100100011101000110011100011000010010001011101101110100000011000011010011000111010000111011011101110101111001110101110110101111101010010000110011110010011101111110100111101000110000000001100101101100001111000001111100001100100011011110000010001101100011000011110101110011100011111011110011000000010010010001100000011110100000110011111110111110101000001100000101000011110101100100001001000000000010101001001010011010101100110100101011001000100010011100110011000110000001000001111111111011001100100000001000110011010101110111111111101100000100101000111001100111000010000111101000001011110011101011010111111011101100000001001000100101111011000010000000011111010100010011101001111101000100101011110011001011110110110011001110101000011000001101101000000111110100011101111110010110011110001010100010110010010101001010111100100100001010010111110100110110001010010010000010011111101111011110101001010001011110010001000100110001101001101101011110111100100110001001100101000101110010110011011100110010101011111100001001011010011110001111111101111110010010111111011111011001100100010101000111111001111010101100110100010110010101101010101011101100011100010111010010010010000101100101001110000010000111111110011011100000111011011111001100110010001010101110100100111110111100011000110101000001100101110111000100101001010110110001101101011011111110011111101111110100001101011000101001011101111110110101100110110010101111111101001000010001100101100010101111001001010010101100010001101110111001001100001011010100110010000000000100111100011001101100110001000110010101110110100011111011100101010110011110001101101000010101000011000100000101110000110011011110000110100010110100000010101110110001111111110100110011110100001000001000111110000011111000001000001110101100100110010111011000000000110111100101001000110110100101010000100010100110011001001111101001011011000111010101110001110011110000101000111101101110110010101111011011101010110000100010000110001001010101001001100011101011011010011000011011000001111011000001010100111100110101010100110110101011101010011111001000010100111011101010000000101000011110001101101100010001011011111001110001011011000010100001100100011110001010110101110000010100101000011100000101110110010001010100110111100Aktualna Generacja: 2 Najlepszy Fitness: 0 Najlepsza Iloœæ Ruchów: 5000
Najlepszy Fitness Zawsze: 0 Najlepsza Iloœæ Ruchów Zawsze: 5000
Najlepsze DNA: 10101001111011110010110111010110111101010110111011000101111011101010110100011011010010011111110001111001001101101100100100101010010011011001001011000101111101010011111110010011111000100001111000000110100100111000001011010011110101101100101111101111011100001010110110000011000010001111101100110100010100000010000110000100111001101100010000011111010011000110110111110101100000001001111000001001110010100010000011001010110011111110011101010110111110000000010110100100111110000100000111010011110010100011011011100101010101010100101110011101100101101100001001100001100111110110011101000001111000110000010010011010011000101111000011011011000000110001000110100010101000110110011100111100110111011000000010110011111011110010101001100110100100101100110100000101011110110101101101000001001110000011010110101001001100111001111100011000001111011011101101110101011110101101100000101110001000001001101001010111111001010111001000000111000011101101110111100010101011100101000111100000110111010011111110110110110000001100010101001000010010101011110111110000110100001110000011011001101001110110111000011010101110000101101010100011010010000001000011100111000100101100111011110000000110110000001000010001001011011001101000011010011110100000001111011010010000010110110011001110010000100000000011011110101011011000100011010011110011010010100010001001110000101111000000010111110010011111100110111010000111110110111001001011011010000000100011110011101010100111110011011010101101001011110000010100001110000110000110010010101111101101001010000011010110011101001101110001110010000111011101110010110110111111001001110100101100010101010001011110100011110010110000010111101010010000100001110101010011001110001101001101010100010010101110001100010011101100010111111111111001111000100000111110110110010100011010011000011001110101010101110001110100100001111100111011110001101100011011011111111111110011000010010100111011000000100100101101001100011110010111010100100010111100110001111110110010010111111101100001101011111101010011010010111101101100110011010101110011001001001111111110100011000011100101011010000101101100100011111100101000100011010010010000101001010100101000111110000001001110111011111100010100001010000001010010111010000010011100111000010000011101010111001000000101110101110110101111010110101110101100001001110010101010100010011000010000010011110101111001001111011000000000011100010001100000001100000010001100101010110000001010001010111010011101001100001111000011000001011101100010101100101001111001000100110000001000111000011010100101000110011010111001101100101010001011001101010110111010000001100111000100010001111101101110111001101000001101011010000001110101101001010011000001011000101010111001101100100101001100111010001101010011100101100010110000011110101101011000011101101010111101000000111100100011101000110011100011000010010001011101101110100000011000011010011000111010000111011011101110101111001110101110110101111101010010000110011110010011101111110100111101000110000000001100101101100001111000001111100001100100011011110000010001101100011000011110101110011100011111011110011000000010010010001100000011110100000110011111110111110101000001100000101000011110101100100001001000000000010101001001010011010101100110100101011001000100010011100110011000110000001000001111111111011001100100000001000110011010101110111111111101100000100101000111001100111000010000111101000001011110011101011010111111011101100000001001000100101111011000010000000011111010100010011101001111101000100101011110011001011110110110011001110101000011000001101101000000111110100011101111110010110011110001010100010110010010101001010111100100100001010010111110100110110001010010010000010011111101111011110101001010001011110010001000100110001101001101101011110111100100110001001100101000101110010110011011100110010101011111100001001011010011110001111111101111110010010111111011111011001100100010101000111111001111010101100110100010110010101101010101011101100011100010111010010010010000101100101001110000010000111111110011011100000111011011111001100110010001010101110100100111110111100011000110101000001100101110111000100101001010110110001101101011011111110011111101111110100001101011000101001011101111110110101100110110010101111111101001000010001100101100010101111001001010010101100010001101110111001001100001011010100110010000000000100111100011001101100110001000110010101110110100011111011100101010110011110001101101000010101000011000100000101110000110011011110000110100010110100000010101110110001111111110100110011110100001000001000111110000011111000001000001110101100100110010111011000000000110111100101001000110110100101010000100010100110011001001111101001011011000111010101110001110011110000101000111101101110110010101111011011101010110000100010000110001001010101001001100011101011011010011000011011000001111011000001010100111100110101010100110110101011101010011111001000010100111011101010000000101000011110001101101100010001011011111001110001011011000010100001100100011110001010110101110000010100101000011100000101110110010001010100110111100Aktualna Generacja: 3 Najlepszy Fitness: 0 Najlepsza Iloœæ Ruchów: 5000
Najlepszy Fitness Zawsze: 0 Najlepsza Iloœæ Ruchów Zawsze: 5000
Najlepsze DNA: 10101001111011110010110111010110111101010110111011000101111011101010110100011011010010011111110001111001001101101100100100101010010011011001001011000101111101010011111110010011111000100001111000000110100100111000001011010011110101101100101111101111011100001010110110000011000010001111101100110100010100000010000110000100111001101100010000011111010011000110110111110101100000001001111000001001110010100010000011001010110011111110011101010110111110000000010110100100111110000100000111010011110010100011011011100101010101010100101110011101100101101100001001100001100111110110011101000001111000110000010010011010011000101111000011011011000000110001000110100010101000110110011100111100110111011000000010110011111011110010101001100110100100101100110100000101011110110101101101000001001110000011010110101001001100111001111100011000001111011011101101110101011110101101100000101110001000001001101001010111111001010111001000000111000011101101110111100010101011100101000111100000110111010011111110110110110000001100010101001000010010101011110111110000110100001110000011011001101001110110111000011010101110000101101010100011010010000001000011100111000100101100111011110000000110110000001000010001001011011001101000011010011110100000001111011010010000010110110011001110010000100000000011011110101011011000100011010011110011010010100010001001110000101111000000010111110010011111100110111010000111110110111001001011011010000000100011110011101010100111110011011010101101001011110000010100001110000110000110010010101111101101001010000011010110011101001101110001110010000111011101110010110110111111001001110100101100010101010001011110100011110010110000010111101010010000100001110101010011001110001101001101010100010010101110001100010011101100010111111111111001111000100000111110110110010100011010011000011001110101010101110001110100100001111100111011110001101100011011011111111111110011000010010100111011000000100100101101001100011110010111010100100010111100110001111110110010010111111101100001101011111101010011010010111101101100110011010101110011001001001111111110100011000011100101011010000101101100100011111100101000100011010010010000101001010100101000111110000001001110111011111100010100001010000001010010111010000010011100111000010000011101010111001000000101110101110110101111010110101110101100001001110010101010100010011000010000010011110101111001001111011000000000011100010001100000001100000010001100101010110000001010001010111010011101001100001111000011000001011101100010101100101001111001000100110000001000111000011010100101000110011010111001101100101010001011001101010110111010000001100111000100010001111101101110111001101000001101011010000001110101101001010011000001011000101010111001101100100101001100111010001101010011100101100010110000011110101101011000011101101010111101000000111100100011101000110011100011000010010001011101101110100000011000011010011000111010000111011011101110101111001110101110110101111101010010000110011110010011101111110100111101000110000000001100101101100001111000001111100001100100011011110000010001101100011000011110101110011100011111011110011000000010010010001100000011110100000110011111110111110101000001100000101000011110101100100001001000000000010101001001010011010101100110100101011001000100010011100110011000110000001000001111111111011001100100000001000110011010101110111111111101100000100101000111001100111000010000111101000001011110011101011010111111011101100000001001000100101111011000010000000011111010100010011101001111101000100101011110011001011110110110011001110101000011000001101101000000111110100011101111110010110011110001010100010110010010101001010111100100100001010010111110100110110001010010010000010011111101111011110101001010001011110010001000100110001101001101101011110111100100110001001100101000101110010110011011100110010101011111100001001011010011110001111111101111110010010111111011111011001100100010101000111111001111010101100110100010110010101101010101011101100011100010111010010010010000101100101001110000010000111111110011011100000111011011111001100110010001010101110100100111110111100011000110101000001100101110111000100101001010110110001101101011011111110011111101111110100001101011000101001011101111110110101100110110010101111111101001000010001100101100010101111001001010010101100010001101110111001001100001011010100110010000000000100111100011001101100110001000110010101110110100011111011100101010110011110001101101000010101000011000100000101110000110011011110000110100010110100000010101110110001111111110100110011110100001000001000111110000011111000001000001110101100100110010111011000000000110111100101001000110110100101010000100010100110011001001111101001011011000111010101110001110011110000101000111101101110110010101111011011101010110000100010000110001001010101001001100011101011011010011000011011000001111011000001010100111100110101010100110110101011101010011111001000010100111011101010000000101000011110001101101100010001011011111001110001011011000010100001100100011110001010110101110000010100101000011100000101110110010001010100110111100Aktualna Generacja: 4 Najlepszy Fitness: 0 Najlepsza Iloœæ Ruchów: 5000
Najlepszy Fitness Zawsze: 0 Najlepsza Iloœæ Ruchów Zawsze: 5000
Najlepsze DNA: 10101001111011110010110111010110111101010110111011000101111011101010110100011011010010011111110001111001001101101100100100101010010011011001001011000101111101010011111110010011111000100001111000000110100100111000001011010011110101101100101111101111011100001010110110000011000010001111101100110100010100000010000110000100111001101100010000011111010011000110110111110101100000001001111000001001110010100010000011001010110011111110011101010110111110000000010110100100111110000100000111010011110010100011011011100101010101010100101110011101100101101100001001100001100111110110011101000001111000110000010010011010011000101111000011011011000000110001000110100010101000110110011100111100110111011000000010110011111011110010101001100110100100101100110100000101011110110101101101000001001110000011010110101001001100111001111100011000001111011011101101110101011110101101100000101110001000001001101001010111111001010111001000000111000011101101110111100010101011100101000111100000110111010011111110110110110000001100010101001000010010101011110111110000110100001110000011011001101001110110111000011010101110000101101010100011010010000001000011100111000100101100111011110000000110110000001000010001001011011001101000011010011110100000001111011010010000010110110011001110010000100000000011011110101011011000100011010011110011010010100010001001110000101111000000010111110010011111100110111010000111110110111001001011011010000000100011110011101010100111110011011010101101001011110000010100001110000110000110010010101111101101001010000011010110011101001101110001110010000111011101110010110110111111001001110100101100010101010001011110100011110010110000010111101010010000100001110101010011001110001101001101010100010010101110001100010011101100010111111111111001111000100000111110110110010100011010011000011001110101010101110001110100100001111100111011110001101100011011011111111111110011000010010100111011000000100100101101001100011110010111010100100010111100110001111110110010010111111101100001101011111101010011010010111101101100110011010101110011001001001111111110100011000011100101011010000101101100100011111100101000100011010010010000101001010100101000111110000001001110111011111100010100001010000001010010111010000010011100111000010000011101010111001000000101110101110110101111010110101110101100001001110010101010100010011000010000010011110101111001001111011000000000011100010001100000001100000010001100101010110000001010001010111010011101001100001111000011000001011101100010101100101001111001000100110000001000111000011010100101000110011010111001101100101010001011001101010110111010000001100111000100010001111101101110111001101000001101011010000001110101101001010011000001011000101010111001101100100101001100111010001101010011100101100010110000011110101101011000011101101010111101000000111100100011101000110011100011000010010001011101101110100000011000011010011000111010000111011011101110101111001110101110110101111101010010000110011110010011101111110100111101000110000000001100101101100001111000001111100001100100011011110000010001101100011000011110101110011100011111011110011000000010010010001100000011110100000110011111110111110101000001100000101000011110101100100001001000000000010101001001010011010101100110100101011001000100010011100110011000110000001000001111111111011001100100000001000110011010101110111111111101100000100101000111001100111000010000111101000001011110011101011010111111011101100000001001000100101111011000010000000011111010100010011101001111101000100101011110011001011110110110011001110101000011000001101101000000111110100011101111110010110011110001010100010110010010101001010111100100100001010010111110100110110001010010010000010011111101111011110101001010001011110010001000100110001101001101101011110111100100110001001100101000101110010110011011100110010101011111100001001011010011110001111111101111110010010111111011111011001100100010101000111111001111010101100110100010110010101101010101011101100011100010111010010010010000101100101001110000010000111111110011011100000111011011111001100110010001010101110100100111110111100011000110101000001100101110111000100101001010110110001101101011011111110011111101111110100001101011000101001011101111110110101100110110010101111111101001000010001100101100010101111001001010010101100010001101110111001001100001011010100110010000000000100111100011001101100110001000110010101110110100011111011100101010110011110001101101000010101000011000100000101110000110011011110000110100010110100000010101110110001111111110100110011110100001000001000111110000011111000001000001110101100100110010111011000000000110111100101001000110110100101010000100010100110011001001111101001011011000111010101110001110011110000101000111101101110110010101111011011101010110000100010000110001001010101001001100011101011011010011000011011000001111011000001010100111100110101010100110110101011101010011111001000010100111011101010000000101000011110001101101100010001011011111001110001011011000010100001100100011110001010110101110000010100101000011100000101110110010001010100110111100Aktualna Generacja: 5 Najlepszy Fitness: 0 Najlepsza Iloœæ Ruchów: 5000
Najlepszy Fitness Zawsze: 0 Najlepsza Iloœæ Ruchów Zawsze: 5000
Najlepsze DNA: 10101001111011110010110111010110111101010110111011000101111011101010110100011011010010011111110001111001001101101100100100101010010011011001001011000101111101010011111110010011111000100001111000000110100100111000001011010011110101101100101111101111011100001010110110000011000010001111101100110100010100000010000110000100111001101100010000011111010011000110110111110101100000001001111000001001110010100010000011001010110011111110011101010110111110000000010110100100111110000100000111010011110010100011011011100101010101010100101110011101100101101100001001100001100111110110011101000001111000110000010010011010011000101111000011011011000000110001000110100010101000110110011100111100110111011000000010110011111011110010101001100110100100101100110100000101011110110101101101000001001110000011010110101001001100111001111100011000001111011011101101110101011110101101100000101110001000001001101001010111111001010111001000000111000011101101110111100010101011100101000111100000110111010011111110110110110000001100010101001000010010101011110111110000110100001110000011011001101001110110111000011010101110000101101010100011010010000001000011100111000100101100111011110000000110110000001000010001001011011001101000011010011110100000001111011010010000010110110011001110010000100000000011011110101011011000100011010011110011010010100010001001110000101111000000010111110010011111100110111010000111110110111001001011011010000000100011110011101010100111110011011010101101001011110000010100001110000110000110010010101111101101001010000011010110011101001101110001110010000111011101110010110110111111001001110100101100010101010001011110100011110010110000010111101010010000100001110101010011001110001101001101010100010010101110001100010011101100010111111111111001111000100000111110110110010100011010011000011001110101010101110001110100100001111100111011110001101100011011011111111111110011000010010100111011000000100100101101001100011110010111010100100010111100110001111110110010010111111101100001101011111101010011010010111101101100110011010101110011001001001111111110100011000011100101011010000101101100100011111100101000100011010010010000101001010100101000111110000001001110111011111100010100001010000001010010111010000010011100111000010000011101010111001000000101110101110110101111010110101110101100001001110010101010100010011000010000010011110101111001001111011000000000011100010001100000001100000010001100101010110000001010001010111010011101001100001111000011000001011101100010101100101001111001000100110000001000111000011010100101000110011010111001101100101010001011001101010110111010000001100111000100010001111101101110111001101000001101011010000001110101101001010011000001011000101010111001101100100101001100111010001101010011100101100010110000011110101101011000011101101010111101000000111100100011101000110011100011000010010001011101101110100000011000011010011000111010000111011011101110101111001110101110110101111101010010000110011110010011101111110100111101000110000000001100101101100001111000001111100001100100011011110000010001101100011000011110101110011100011111011110011000000010010010001100000011110100000110011111110111110101000001100000101000011110101100100001001000000000010101001001010011010101100110100101011001000100010011100110011000110000001000001111111111011001100100000001000110011010101110111111111101100000100101000111001100111000010000111101000001011110011101011010111111011101100000001001000100101111011000010000000011111010100010011101001111101000100101011110011001011110110110011001110101000011000001101101000000111110100011101111110010110011110001010100010110010010101001010111100100100001010010111110100110110001010010010000010011111101111011110101001010001011110010001000100110001101001101101011110111100100110001001100101000101110010110011011100110010101011111100001001011010011110001111111101111110010010111111011111011001100100010101000111111001111010101100110100010110010101101010101011101100011100010111010010010010000101100101001110000010000111111110011011100000111011011111001100110010001010101110100100111110111100011000110101000001100101110111000100101001010110110001101101011011111110011111101111110100001101011000101001011101111110110101100110110010101111111101001000010001100101100010101111001001010010101100010001101110111001001100001011010100110010000000000100111100011001101100110001000110010101110110100011111011100101010110011110001101101000010101000011000100000101110000110011011110000110100010110100000010101110110001111111110100110011110100001000001000111110000011111000001000001110101100100110010111011000000000110111100101001000110110100101010000100010100110011001001111101001011011000111010101110001110011110000101000111101101110110010101111011011101010110000100010000110001001010101001001100011101011011010011000011011000001111011000001010100111100110101010100110110101011101010011111001000010100111011101010000000101000011110001101101100010001011011111001110001011011000010100001100100011110001010110101110000010100101000011100000101110110010001010100110111100Aktualna Generacja: 6 Najlepszy Fitness: 0 Najlepsza Iloœæ Ruchów: 5000
Najlepszy Fitness Zawsze: 0 Najlepsza Iloœæ Ruchów Zawsze: 5000
Najlepsze DNA: 10101001111011110010110111010110111101010110111011000101111011101010110100011011010010011111110001111001001101101100100100101010010011011001001011000101111101010011111110010011111000100001111000000110100100111000001011010011110101101100101111101111011100001010110110000011000010001111101100110100010100000010000110000100111001101100010000011111010011000110110111110101100000001001111000001001110010100010000011001010110011111110011101010110111110000000010110100100111110000100000111010011110010100011011011100101010101010100101110011101100101101100001001100001100111110110011101000001111000110000010010011010011000101111000011011011000000110001000110100010101000110110011100111100110111011000000010110011111011110010101001100110100100101100110100000101011110110101101101000001001110000011010110101001001100111001111100011000001111011011101101110101011110101101100000101110001000001001101001010111111001010111001000000111000011101101110111100010101011100101000111100000110111010011111110110110110000001100010101001000010010101011110111110000110100001110000011011001101001110110111000011010101110000101101010100011010010000001000011100111000100101100111011110000000110110000001000010001001011011001101000011010011110100000001111011010010000010110110011001110010000100000000011011110101011011000100011010011110011010010100010001001110000101111000000010111110010011111100110111010000111110110111001001011011010000000100011110011101010100111110011011010101101001011110000010100001110000110000110010010101111101101001010000011010110011101001101110001110010000111011101110010110110111111001001110100101100010101010001011110100011110010110000010111101010010000100001110101010011001110001101001101010100010010101110001100010011101100010111111111111001111000100000111110110110010100011010011000011001110101010101110001110100100001111100111011110001101100011011011111111111110011000010010100111011000000100100101101001100011110010111010100100010111100110001111110110010010111111101100001101011111101010011010010111101101100110011010101110011001001001111111110100011000011100101011010000101101100100011111100101000100011010010010000101001010100101000111110000001001110111011111100010100001010000001010010111010000010011100111000010000011101010111001000000101110101110110101111010110101110101100001001110010101010100010011000010000010011110101111001001111011000000000011100010001100000001100000010001100101010110000001010001010111010011101001100001111000011000001011101100010101100101001111001000100110000001000111000011010100101000110011010111001101100101010001011001101010110111010000001100111000100010001111101101110111001101000001101011010000001110101101001010011000001011000101010111001101100100101001100111010001101010011100101100010110000011110101101011000011101101010111101000000111100100011101000110011100011000010010001011101101110100000011000011010011000111010000111011011101110101111001110101110110101111101010010000110011110010011101111110100111101000110000000001100101101100001111000001111100001100100011011110000010001101100011000011110101110011100011111011110011000000010010010001100000011110100000110011111110111110101000001100000101000011110101100100001001000000000010101001001010011010101100110100101011001000100010011100110011000110000001000001111111111011001100100000001000110011010101110111111111101100000100101000111001100111000010000111101000001011110011101011010111111011101100000001001000100101111011000010000000011111010100010011101001111101000100101011110011001011110110110011001110101000011000001101101000000111110100011101111110010110011110001010100010110010010101001010111100100100001010010111110100110110001010010010000010011111101111011110101001010001011110010001000100110001101001101101011110111100100110001001100101000101110010110011011100110010101011111100001001011010011110001111111101111110010010111111011111011001100100010101000111111001111010101100110100010110010101101010101011101100011100010111010010010010000101100101001110000010000111111110011011100000111011011111001100110010001010101110100100111110111100011000110101000001100101110111000100101001010110110001101101011011111110011111101111110100001101011000101001011101111110110101100110110010101111111101001000010001100101100010101111001001010010101100010001101110111001001100001011010100110010000000000100111100011001101100110001000110010101110110100011111011100101010110011110001101101000010101000011000100000101110000110011011110000110100010110100000010101110110001111111110100110011110100001000001000111110000011111000001000001110101100100110010111011000000000110111100101001000110110100101010000100010100110011001001111101001011011000111010101110001110011110000101000111101101110110010101111011011101010110000100010000110001001010101001001100011101011011010011000011011000001111011000001010100111100110101010100110110101011101010011111001000010100111011101010000000101000011110001101101100010001011011111001110001011011000010100001100100011110001010110101110000010100101000011100000101110110010001010100110111100Aktualna Generacja: 7 Najlepszy Fitness: 0 Najlepsza Iloœæ Ruchów: 5000
Najlepszy Fitness Zawsze: 0 Najlepsza Iloœæ Ruchów Zawsze: 5000
